name,brand,slug,price,gender,category,concentration,scent_notes,intensity,occasion,description,stock_quantity,is_available,image
Erba Pura,Xerjoff,xerjoff-erba-pura-u,250,U,oriental,parfum,"Top: sycylijska pomarańcza, bergamotka kalabryjska, cytryna sycylijska; Heart: kosz owoców śródziemnomorskich; Base: biała piżmo, ambra, wanilia madagaskarska",strong,special,"Erba Pura to żywiołowa kompozycja orientalna z kolekcji Xerjoff Vibe, stworzona dla kobiet i mężczyzn. Otwiera się świeżymi nutami sycylijskich cytrusów i bergamotki, przechodząc w serce pełne soczystych owoców śródziemnomorskich. Baza z białej piżmo, ambry i madagaskarskiej wanilii nadaje kompozycji ciepły, zmysłowy charakter o imponującej trwałości. Idealny na wyjątkowe okazje dla miłośników intensywnych, owocowych zapachów.",10,True,products/IMG-20260409-WA0010.jpg
Goddess,Burberry,burberry-goddess-k,200,K,oriental,parfum,"Top: maliny, lawenda; Heart: wanilia, wanilia kawior, wanilia absolutna; Base: zamsz",strong,special,"Burberry Goddess to luksusowy zapach stworzony dla kobiet szukających wyrafinowanego i zmysłowego doświadczenia zapachowego. Kompozycja otwiera się świeżymi nutami malin i lawendy, przechodząc w bogate serce z trio wanilii, które nadaje zapachowi głębi i słodyczy. Baza z zamszem dodaje kompozycji ciepła i elegancji. Idealny na wyjątkowe okazje, gdy chcesz podkreślić swoją kobiecość i siłę.",10,True,products/IMG-20260409-WA0011.jpg
J'adore l'Or,Dior,dior-jadore-lor-k,200,K,floral,parfum,"Top: kwiat pomarańczy, jaśmin; Heart: róża stulistna, jaśmin grandiflorum; Base: piżmo, ambra, drzewo cedrowe",strong,special,"J'adore l'Or to luksusowa esencja perfum stworzona przez Francisa Kurkdjiana dla Diora. Ten intensywny zapach łączy absoluty z kwiatu pomarańczy, jaśminu grandiflorum i róży stulistnej w zmysłową kompozycję. Prezentuje kwintesencję kobiecości w złotej, solarnej aurze. Idealny na wyjątkowe wieczory i eleganckie okazje, gdy chcesz podkreślić swoją wyjątkowość.",10,True,products/IMG-20260409-WA0012.jpg
Libre,Yves Saint Laurent,yves-saint-laurent-libre-k,200,K,floral,parfum,"Top: lawenda, mandarynka, bergamota; Heart: kwiat pomarańczy, jaśmin; Base: wanilia, piżmo, ambra",strong,daily,"Libre to śmiała kompozycja floralna łącząca francuską lawendę z marokańskim kwiatem pomarańczy w nieprzewidywalny i uwodzicielski sposób. To zapach wolności dla kobiet, które żyją według własnych zasad i wyrażają swoją niezależność. Ciepła wanilia z Madagaskaru i zmysłowe akordy piżma tworzą trwałą bazę, która podkreśla kobiecość i siłę charakteru. Idealny wybór dla pewnych siebie kobiet, które nie boją się być sobą.",10,True,products/IMG-20260409-WA0013.jpg
Boss The Scent Magnetic,Hugo Boss,hugo-boss-boss-the-scent-magnetic-m,200,M,oriental,parfum,"Top: owoce maninka; Heart: absolut otrębów; Base: czarna wanilia, ambra",strong,special,"Boss The Scent Magnetic to intensywny i uwodzicielski zapach stworzony dla mężczyzn poszukujących magnetycznej atrakcyjności. Otwiera się egzotycznymi owocami maninka o słodko-czekoladowych akcentach, przechodząc w serce z malty otrębowej o ciepłym, ziemistym charakterze. Baza oparta na czarnej wanilii i ambrze nadaje kompozycji głębi i trwałości. Idealny na wieczory i wyjątkowe okazje, kiedy chcesz zrobić niezapomniane wrażenie.",10,True,products/IMG-20260409-WA0014.jpg
Flora Gorgeous Magnolia,Gucci,gucci-flora-gorgeous-magnolia-k,200,K,floral,parfum,"Top: jeżyna, kokos, pomarańcza; Heart: magnolia, jaśmin sambac, szałwia, konwalia; Base: piżmo, paczula, jasne drewno",light,daily,"Flora Gorgeous Magnolia to delikatny kwiatowy zapach od Gucci, stworzony w 2023 roku przez Daphné Bugey i Marie Salamagne. Otwiera się soczystą nutą jeżyny i kremowego kokosu, przechodząc w serce zdominowane przez elegancką magnolię i zmysłowy jaśmin. Baza z piżma i paczuli nadaje kompozycji subtelną głębię. Idealny na co dzień dla kobiet ceniących świeże, kobiece aromaty.",10,True,products/IMG-20260409-WA0015.jpg
Toy 2 Bubble Gum,Moschino,moschino-toy-2-bubble-gum-k,200,K,floral,edt,"Top: kandyzowane owoce cytrusowe, cytryna, gorzka pomarańcza; Heart: guma balonowa, cynamon, maliny, jagody, bułgarska róża, brzoskwinia, kwiat brzoskwini, imbir; Base: cedr, piżmo, ambroxan",strong,daily,"Toy 2 Bubble Gum to zabawny i energiczny zapach Moschino zamknięty w kultowej butelce w kształcie różowego misia. Otwiera się słodkimi nutami kandyzowanych cytrusów i prawdziwej gumy balonowej, która budzi nostalgiczne wspomnienia. W sercu kwitnie bułgarska róża przeplatana soczystymi owocami i przyprawami, tworząc słodko-kwiatową kompozycję. Ciepła baza z cedru i piżma nadaje trwałości temu młodzieńczemu i radosnemu zapachowi.",10,True,products/IMG-20260409-WA0016.jpg
Noir,Tom Ford,tom-ford-noir-m,200,M,oriental,parfum,"Top: bergamota, werbena, kminek, różowy pieprz, fiołek; Heart: geranium, irys, gałka muszkatołowa, szałwia, bułgarska róża, czarny pieprz; Base: ambra, styraks, opoponaks, paczula, wanilia, wetywer, cywet, benzoes, skóra",strong,special,"Tom Ford Noir to tajemniczy i wyrafinowany zapach stworzony dla mężczyzn ceniących złożoność i elegancję. Otwiera się świeżymi nutami bergamoty i fiołka, przechodząc w bogate serce z irysa, róży i przypraw. Głęboka baza z ambry, paczuli i wanilii nadaje kompozycji zmysłowy charakter i długotrwałość. Idealny na wieczorne wyjścia i wyjątkowe okazje.",10,True,products/IMG-20260409-WA0017.jpg
Bright Crystal,Versace,versace-bright-crystal-k,200,K,floral,edt,"Top: yuzu, granat, akord lodu; Heart: piwonia, magnolia, lotos; Base: piżmo, drewno akaju, ambra",light,daily,"Bright Crystal to świeży kwiatowo-owocowy zapach stworzony przez Alberto Morillasa na zlecenie Donatelli Versace. Kompozycja otwiera się orzeźwiającym yuzu i granatem z lodowym akordem, przechodząc w romantyczne serce z piwonii, magnolii i lotosu. Ciepła baza piżma, drewna akaju i ambry nadaje trwałość tej delikatnej, ale wyrazistej kompozycji. Idealny na co dzień, szczególnie w cieplejszych miesiącach.",10,True,products/IMG-20260409-WA0018.jpg
Million Gold For Her,Rabanne,rabanne-million-gold-for-her-k,200,K,floral,parfum,"Top: gruszka, róża, lawenda; Heart: ylang-ylang, jaśmin; Base: wanilia, piżmo, mech",strong,special,"Million Gold For Her to luksusowy zapach Rabanne stworzony dla kobiet ceniących wyrafinowaną elegancję. Kompozycja otwiera się soczystą gruszką połączoną z romantyczną różą i kojącą lawendą. Serce ujawnia egzotyczny ylang-ylang przeplatający się z delikatnym jaśminem. Baza opiera się na ciepłej wanilii, zmysłowym piżmie i naturalnym mchu, tworząc trwały i zapamiętujący się ślad zapachowy. Idealny na wyjątkowe wieczory i specjalne okazje.",10,True,products/IMG-20260409-WA0019.jpg
Bvlgari Man Rain Essence,Bvlgari,bvlgari-man-rain-essence-m,200,M,fresh,parfum,"Top: zielona herbata, pomarańcza; Heart: biały lotos, krystaliczne piżmo; Base: drewno gwajakowe, ambra",light,daily,"Bvlgari Man Rain Essence to świeża i ożywcza kompozycja stworzona przez Alberto Morillasa w 2023 roku. Zapach otwiera się rześką nutą zielonej herbaty i pomarańczy, przypominając klarowność kropli deszczu na liściach. Serce ujawnia delikatne piżmo i biały lotos, które nadają kompozycji transparentną elegancję. Baza z drewna gwajakowego i ambry zapewnia ciepłe, drewniane wykończenie, które przywodzi na myśl ziemię odświeżoną przez deszcz. Idealny na codzienne noszenie i cieplejsze miesiące.",10,True,products/IMG-20260409-WA0020.jpg
Sì Intense,Giorgio Armani,giorgio-armani-si-intense-k,200,K,floral,parfum,"Top: czarna porzeczka, syrop z czarnej porzeczki; Heart: róża turecka, davana; Base: benzoina, paczula",strong,special,"Sì Intense to zmysłowa i wyrazista kompozycja stworzona dla kobiet ceniących intensywność. Otwiera się soczyste nuty syropu z czarnej porzeczki, przechodząc w serce z turecką różą i davaną. Głęboka baza z benzoiną i paczulą nadaje kompozycji ciepły i wyrafinowany charakter. Idealny na wieczorne wyjścia i specjalne okazje.",10,True,products/IMG-20260409-WA0021.jpg
Bleu de Chanel Parfum,Chanel,chanel-bleu-de-chanel-parfum-m,200,M,woody,parfum,"Top: cytryna, mięta, grejpfrut, różowy pieprz; Heart: imbir, gałka muszkatołowa, jaśmin; Base: cedr, drzewo sandałowe, labdanum, wetiwer, kadzidło, białe piżmo",strong,special,"Bleu de Chanel Parfum to najbardziej intensywna wersja kultowego męskiego zapachu od Chanel. Kompozycja otwiera się świeżymi nutami cytrusów i mięty, przechodząc w aromatyczne serce z imbirem i gałką muszkatołową. Głęboka drzewna baza z cedrem i nowokaledonijskim drzewem sandałowym zapewnia długotrwałość i zmysłowy charakter. Idealny na wieczorne wyjścia i szczególne okazje, gdzie liczy się elegancja i wyrazistość.",10,True,products/IMG-20260409-WA0022.jpg
Good Girl Dazzling Garden,Carolina Herrera,carolina-herrera-good-girl-dazzling-garden-k,200,K,floral,parfum,"Top: migdał; Heart: tuberoza, jaśmin sambac; Base: kakao, fasola tonka",light,daily,"Good Girl Dazzling Garden to limitowana edycja kultowego zapachu od Carolina Herrera, stworzona specjalnie dla kobiet poszukujących eleganckiej kompozycji kwiatowej. Otwiera się świeżą nutą migdała, przechodząc w serce z urzekającą tuberozą i zmysłowym jaśminem sambac. Głęboka baza kakao i fasoli tonka nadaje kompozycji ciepły i uwodzicielski charakter. Idealny na codzienne użycie, łącząc kobiecość z wyrafinowaniem w błyszczącej, limitowanej butelce w kształcie szpilki.",10,True,products/IMG-20260409-WA0023.jpg
J'adore,Dior,dior-jadore-k,200,K,floral,parfum,"Top: gruszka, melon, magnolia, brzoskwinia, mandarynka, bergamota; Heart: jaśmin, konwalia, tuberoza, frezja, róża, orchidea, fiołek, śliwka; Base: piżmo, wanilia, cedr, jeżyna",strong,special,"J'adore to kultowy zapach Diora, który uosabia kobiecość i elegancję. Ten lśniący, słoneczny zapach otwiera się soczystymi nutami gruszki i brzoskwini, przechodząc w bogate serce z jaśminem, różą damasceńską i ylang-ylang. Bazowe nuty piżma, wanilii i cedru tworzą zmysłową, trwałą kompozycję. Idealny na wyjątkowe okazje i romantyczne wieczory, gdy chcesz poczuć się wyjątkowo.",10,True,products/IMG-20260409-WA0024.jpg
Bad Boy Cobalt,Carolina Herrera,carolina-herrera-bad-boy-cobalt-m,200,M,woody,parfum,"Top: lawenda, różowy pieprz; Heart: śliwka, geranium; Base: cedr, wetywer, trufla, dąb",strong,special,"Bad Boy Cobalt to energetyczna kompozycja kontrastów od Carolina Herrera, która otwiera się świeżą lawendą i różowym pieprzem. Serce zapachu wypełnia słodka śliwka w towarzystwie męskiego geranium. Głęboka baza z cedrowym drewnem, wetywerą i luksusową truflą tworzy długotrwały ślad o mineralnym charakterze. Idealne na wieczorne wyjścia i wyjątkowe okazje, kiedy chcesz się wyróżnić.",10,True,products/IMG-20260409-WA0025.jpg
Miss Dior Blooming Bouquet,Dior,dior-miss-dior-blooming-bouquet-k,200,K,floral,edt,"Top: bergamota, słodki groszek; Heart: piwonia, róża damasceńska; Base: białe piżmo",light,daily,"Miss Dior Blooming Bouquet to delikatna kwiatowa kompozycja, która ucieleśnia świeżą kobiecość i elegancję. Otwiera się soczysta bergamotą i słodkim groszkiem, które nadają natychmiastową świeżość. Serce wypełniają piwonia i róża damasceńska, tworzące romantyczny bukiet kwiatów. Białe piżmo w bazie otula skład subtelną miękkością. Idealny zapach na co dzień, który sprawdzi się podczas wiosennych i letnich dni.",10,True,products/IMG-20260409-WA0026.jpg
Fame,Rabanne,rabanne-fame-k,200,K,floral,parfum,"Top: mango, bergamot, różowy pieprz; Heart: jaśmin, kadzidło, paczula; Base: benzoin, drzewo sandałowe, piżmo",strong,special,"Fame to sensoryczna kompozycja owocowo-kwiatowa stworzona dla współczesnej kobiety. Zapach otwiera się soczystym mango i bergamotką, przechodząc w zmysłowe serce z jaśminem i kadzidłem. Ciepła baza z drzewa sandałowego i benzoiną nadaje całości luxusowy i trwały charakter. Idealny na wieczorne wyjścia i specjalne okazje.",10,True,products/IMG-20260409-WA0027.jpg
Hypnôse,Lancome,lancome-hypnose-k,200,K,oriental,parfum,"Top: kwiat pasji; Heart: jaśmin, gardenia; Base: wanilia, wetyweria",strong,special,"Hypnôse to orientalno-waniliowa kompozycja stworzona dla kobiet poszukujących zmysłowego i hipnotyzującego zapachu. Otwiera się egzotyczną nutą kwiatu pasji, przechodząc w delikatne serce z jaśminu i gardenii. Głęboka baza wanilii i wetywerti nadaje kompozycji trwałość i ciepły, kremowy charakter. Idealny na romantyczne wieczory i wyjątkowe okazje.",10,True,products/IMG-20260409-WA0028.jpg
Flora Gorgeous Orchid,Gucci,gucci-flora-gorgeous-orchid-k,200,K,floral,parfum,Top: wanilia; Heart: waniliowa orchidea; Base: nuty ozonowe,strong,daily,"Flora Gorgeous Orchid to pierwszy ozonowy kwiatowo-smakoszy zapach od Gucci, stworzony przez Marie Salamagne. Kompozycja łączy słodką wanilię z orzeźwiającymi nutami ozonowymi, które nadają świeżość tradycyjnie ciepłej wanilii. W sercu dominuje waniliowa orchidea, tworząc zmysłowy i długotrwały zapach o kremowej teksturze. Idealny na co dzień dzięki swojej uniwersalności i trwałości.",10,True,products/IMG-20260409-WA0029.jpg
Aventus,Creed,creed-aventus-m,200,M,woody,parfum,"Top: bergamot, ananas, czarna porzeczka, jabłko; Heart: brzoza, paczula, jaśmin, róża; Base: piżmo, mech dębowy, ambergris, wanilia",strong,special,"Aventus to ikoniczna kompozycja Creeda stworzona z okazji 250-lecia marki, inspirowana postacią Napoleona Bonaparte. Otwiera się świeżymi nutami ananasa i bergamotu z akcentem czarnej porzeczki, przechodząc w serce z charakterystyczną dymną brzozą i paczulą. Głęboka baza z piżma i ambergrisu zapewnia wyjątkową trwałość i męski charakter. To zapach dla pewnych siebie mężczyzn ceniących luksus i wyrafinowanie.",10,True,products/IMG-20260409-WA0030.jpg
Because It's You,Emporio Armani,emporio-armani-because-its-you-k,200,K,floral,parfum,"Top: malina, cytryna, neroli; Heart: róża; Base: wanilia, piżmo, drewno bursztynowe",strong,special,"Because It's You to radosna i zmysłowa kompozycja dla kobiet, która celebruje miłość i współczesną kobiecość. Otwiera się soczysta maliną i świeżym neroli, przechodząc w romantyczne serce z absolutem róży. Ciepła baza wanilii, piżma i drewna bursztynowego nadaje kompozycji głębi i trwałości. Idealny na specjalne okazje i romantyczne chwile.",10,True,products/IMG-20260409-WA0031.jpg
Flora Gorgeous Jasmine,Gucci,gucci-flora-gorgeous-jasmine-k,200,K,floral,parfum,"Top: mandarynka włoska, bergamotka, czarny pieprz; Heart: jaśmin grandiflorum, jaśmin sambac, magnolia, róża damasceńska; Base: sandałowiec australijski, benzoe, paczula",strong,daily,"Flora Gorgeous Jasmine to kwintesencja luksusowej elegancji w wydaniu Gucci, stworzona dla kobiet kochających bogate kompozycje kwiatowe. Perfumy otwierają się świeżymi nutami mandarynki i bergamotki z ostrą akcentem czarnego pieprzu, przechodząc w serce zdominowane przez jaśmin grandiflorum i magnolię. Ciepła baza z sandałowca i benzoe dodaje kompozycji zmysłowej głębi i trwałości. Idealny na codzienne noszenie, oferując radosną i inspirującą aurę.",10,True,products/IMG-20260409-WA0032.jpg
Afternoon Swim,Louis Vuitton,louis-vuitton-afternoon-swim-u,200,U,fresh,parfum,"Top: sycylijska pomarańcza, bergamota, mandarynka; Heart: jaśmin sambac, nuty wodne; Base: piżmo, ambra szara",light,daily,"Afternoon Swim to świeży i energetyczny zapach inspirowany letnim popołudniem nad oceanem. Otwiera się soczystą pomarańczą sycylijską i bergamotą, które tworzą wybuch cytrusowej świeżości. Serce kompozycji wypełnia delikatny jaśmin sambac połączony z nutami wodnymi, odzwierciedlającymi morską bryzę. Baza z piżma i ambry szarej nadaje całości ciepłą i zmysłową głębię, pozostawiając na skórze uczucie słonecznego dnia nad morzem.",10,True,products/IMG-20260409-WA0033.jpg
Kirke,Tiziana Terenzi,tiziana-terenzi-kirke-u,250,U,oriental,parfum,"Top: owoc męczennicy, brzoskwinia, gruszka, malina, czarna porzeczka, piasek; Heart: konwalia; Base: piżmo, drzewo sandałowe, wanilia, paczula, heliotrop",strong,special,"Kirke to egzotyczna i uwodzicielska kompozycja od Tiziana Terenzi, która zachwyca soczystą mieszanką tropikalnych owoców w górnych nutach. Delikatna konwalia w sercu dodaje kompozycji elegancji, podczas gdy ciepła baza z piżma, drzewa sandałowego i wanilii tworzy zmysłowy i trwały szlak. Ten luksusowy zapach idealnie sprawdzi się podczas wyjątkowych okazji, zostawiając niezapomniane wrażenie.",10,True,products/IMG-20260409-WA0034.jpg
My Way Intense,Giorgio Armani,giorgio-armani-my-way-intense-k,200,K,floral,parfum,"Top: kwiat pomarańczy, gorzka pomarańcza; Heart: tuberoza indyjska; Base: wanilia z Madagaskaru, drzewo sandałowe",strong,special,"My Way Intense to intensywna, kwiatowa kompozycja stworzona dla kobiet poszukujących wyrażającego zapach. Otwiera się jasnymi nutami kwiatu pomarańczy, przechodząc w serce zdominowane przez kremową i aksamitną tuberozę indyjską. Ciepła baza z wanilią z Madagaskaru i drzewem sandałowym tworzy uzależniający i luksusowy finisz. Idealny na wieczorne okazje i szczególne chwile.",10,True,products/IMG-20260409-WA0035.jpg
Flora Gorgeous Gardenia Intense,Gucci,gucci-flora-gorgeous-gardenia-intense-k,200,K,floral,parfum,"Top: mandarynka; Heart: gardenia, hedion; Base: sandałowiec",strong,special,"Flora Gorgeous Gardenia Intense to intensywna wersja kultowego zapachu Gucci, stworzona dla kobiet ceniących silne i zmysłowe kompozycje kwiatowe. Otwiera się orzeźwiającą nutą mandarynki, przechodząc w serce zdominowane przez kremanową gardenię i hedion. Baza z sandałowca nadaje całości ciepły i elegancki charakter. Idealny na wieczorne wyjścia i wyjątkowe okazje.",10,True,products/IMG-20260409-WA0036.jpg
Oud Wood,Tom Ford,tom-ford-oud-wood-u,200,U,woody,parfum,"Top: kardamon, różowy pieprz, chińska papryczka syczuańska; Heart: drewno oud, drewno różane, drewno sandałowe, wetiwer; Base: wanilia, tonka, ambra, paczula",strong,special,"Oud Wood to ikoniczna kompozycja Tom Forda, która w mistrzowski sposób łączy egzotyczne drewno oud z ciepłymi przyprawami i kremowym drewnem sandałowym. Zapach otwiera się aromatycznym kardamonem i różowym pieprzem, przechodząc w serce pełne szlachetnego drewna oud i różanego. Głęboką bazę tworzą słodkie nuty wanilii, tonki i zmysłowej ambry. To perfumy dla osób poszukujących luksusowego i wyrafinowanego zapachu na wyjątkowe okazje.",10,True,products/IMG-20260409-WA0037.jpg
Althaïr,Parfums de Marly,parfums-de-marly-althair-m,200,M,oriental,parfum,"Top: kwiat pomarańczy, bergamotka, cynamon; Heart: wanilia bourbon, elemi; Base: drewno gwajakowe, ambroksjan, pralina, piżmo",strong,special,"Althaïr to luksusowa kompozycja od Parfums de Marly, będąca hołdem dla francuskiej wysokiej perfumerii. Zapach otwiera się świeżymi nutami kwiatu pomarańczy, bergamotki i rozgrzewającego cynamonu, przechodząc w serce zdominowane przez szlachetną wanilię bourbon z Madagaskaru. Głęboka baza złożona z drewna gwajakowego, ambroksjanu i praliny tworzy ciepły, zmysłowy finał o doskonałej trwałości. To wyjątkowy zapach na specjalne okazje, łączący tradycję z nowoczesnością.",10,True,products/IMG-20260409-WA0038.jpg
Mandarino di Amalfi,Tom Ford,tom-ford-mandarino-di-amalfi-u,200,U,citrus,parfum,"Top: cytryna, grejpfrut, mięta, bazylia, estragon, czarna porzeczka; Heart: kwiat pomarańczy, jaśmin, szałwia, kolendra, czarny pieprz; Base: piżmo, wetyweria, ambra, labdanum, cyweta",light,daily,"Mandarino di Amalfi to świeży cytrusowy zapach inspirowany wybrzeżem Amalfi. Otwiera się soczystą cytryną i grejpfrutem z aromatycznymi nutami ziół, przechodząc w serce z delikatnym kwiatem pomarańczy i jaśminem. Lekka baza z piżma i wetyweii nadaje kompozycji subtelną głębię. Idealny na letnie dni i codzienne okazje, oferując orzeźwiającą elegancję w stylu Tom Ford.",10,True,products/IMG-20260409-WA0039.jpg
Uomo Born in Roma Purple Melancholia,Valentino,valentino-uomo-born-in-roma-purple-melancholia-m,200,M,woody,edt,"Top: kardamon; Heart: kokos, lawenda; Base: ambrowe drewno",strong,special,"Uomo Born in Roma Purple Melancholia to limitowana edycja aromatycznej kompozycji drzewnej dla mężczyzn. Otwiera się pikantnym kardamonem, przechodząc w serce z kremowym kokosem i aromatyczną lawendą. Baza z ambrowego drewna dodaje ciepła i głębi całej kompozycji. Idealny na wieczory i wyjątkowe okazje, gdy chcesz wyróżnić się unikalnym zapachem.",10,True,products/IMG-20260409-WA0040.jpg
